timestamp,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_TCP_speed_0,actual_TCP_speed_1,actual_TCP_speed_2,actual_TCP_speed_3,actual_TCP_speed_4,actual_TCP_speed_5,actual_TCP_force_0,actual_TCP_force_1,actual_TCP_force_2,actual_TCP_force_3,actual_TCP_force_4,actual_TCP_force_5
825.853000,-0.290207,0.336693,-0.023123,0.723741,3.054629,0.012196,-0.000003,-0.000001,-0.000000,-0.000005,0.000011,0.000000,0.116142,0.197872,-0.053526,-0.002338,0.002176,0.005615
825.855000,-0.290196,0.336699,-0.023113,0.723750,3.054587,0.012241,-0.000003,-0.000001,-0.000000,-0.000005,0.000011,0.000000,-0.211363,0.225567,-0.083192,-0.005056,-0.000800,-0.000363
825.857000,-0.290185,0.336689,-0.023123,0.723772,3.054596,0.012176,-0.000003,-0.000001,-0.000000,-0.000005,0.000010,0.000000,0.286948,0.102564,-0.076409,-0.000720,0.007070,-0.003317
825.859000,-0.290224,0.336689,-0.023108,0.723677,3.054686,0.012218,-0.000003,-0.000001,-0.000000,-0.000005,0.000010,0.000000,-0.246361,-0.000144,-0.072408,0.002560,-0.003776,0.002939
825.861000,-0.290204,0.336706,-0.023114,0.723778,3.054624,0.012237,-0.000003,-0.000001,-0.000000,-0.000005,0.000010,0.000000,0.262352,0.225632,-0.000417,-0.003977,0.007997,0.003407
825.863000,-0.290210,0.336715,-0.023110,0.723746,3.054652,0.012308,-0.000003,-0.000001,-0.000000,-0.000004,0.000010,0.000000,0.084097,0.197394,-0.185132,-0.000305,0.001134,-0.001145
825.865000,-0.290210,0.336683,-0.023122,0.723742,3.054633,0.012143,-0.000003,-0.000001,-0.000000,-0.000004,0.000010,0.000000,0.209471,0.282275,0.091534,-0.006310,0.003814,0.002676
825.867000,-0.290204,0.336698,-0.023117,0.723704,3.054636,0.012195,-0.000003,-0.000001,-0.000000,-0.000004,0.000010,0.000000,-0.398341,0.125902,0.015016,-0.000600,-0.006886,0.003808
825.869000,-0.290189,0.336710,-0.023118,0.723868,3.054596,0.012223,-0.000003,-0.000001,-0.000000,-0.000004,0.000010,0.000000,-0.039276,-0.096184,-0.110340,0.002344,0.000515,0.006717
825.871000,-0.290203,0.336705,-0.023111,0.723742,3.054633,0.012237,-0.000003,-0.000001,-0.000000,-0.000004,0.000010,0.000000,-0.244463,-0.006867,0.069258,0.003670,-0.003482,0.001645
825.873000,-0.290194,0.336688,-0.023128,0.723771,3.054592,0.012136,-0.000003,-0.000001,-0.000000,-0.000004,0.000010,0.000000,-0.059368,0.071539,-0.120130,-0.002481,-0.003081,0.003181
825.875000,-0.290207,0.336689,-0.023128,0.723758,3.054622,0.012127,-0.000003,-0.000001,-0.000000,-0.000004,0.000009,0.000000,0.008424,0.011679,-0.163100,0.002267,0.000159,0.007612
825.875000,-0.290207,0.336689,-0.023128,0.723758,3.054622,0.012127,-0.000003,-0.000001,-0.000000,-0.000004,0.000009,0.000000,0.008424,0.011679,-0.163100,0.002267,0.000159,0.007612
825.879000,-0.290218,0.336687,-0.023107,0.723692,3.054667,0.012281,-0.000002,-0.000001,-0.000000,-0.000004,0.000009,0.000000,0.098111,0.108789,-0.136746,-0.000267,0.002191,0.006959
825.881000,-0.290208,0.336694,-0.023126,0.723721,3.054625,0.012180,-0.000002,-0.000001,-0.000000,-0.000004,0.000009,0.000000,0.309855,-0.005706,-0.122958,0.001729,0.005174,0.002192
825.883000,-0.290219,0.336703,-0.023116,0.723748,3.054661,0.012203,-0.000000,-0.000000,-0.000000,-0.000000,0.000001,0.000000,0.233442,-0.055189,-0.120943,0.000324,0.008599,0.007483
825.885000,-0.290193,0.336701,-0.023118,0.723717,3.054606,0.012203,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.037428,0.116927,-0.067443,-0.001881,-0.004748,0.003084
825.887000,-0.290213,0.336688,-0.023114,0.723686,3.054639,0.012222,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.335442,0.122756,-0.129085,-0.001963,0.004551,0.001038
825.889000,-0.290209,0.336710,-0.023107,0.723764,3.054645,0.012241,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.229738,0.098067,-0.164268,-0.002934,-0.004783,0.007739
825.891000,-0.290197,0.336698,-0.023119,0.723700,3.054618,0.012218,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.230871,0.082210,-0.058592,-0.001394,0.003324,0.001211
825.893000,-0.290210,0.336703,-0.023108,0.723722,3.054628,0.012248,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.009954,-0.108785,0.041067,0.005311,0.001909,0.001828
825.895000,-0.290219,0.336713,-0.023103,0.723785,3.054653,0.012298,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.471347,0.104700,0.016496,-0.000803,0.011460,0.001959
825.897000,-0.290190,0.336703,-0.023117,0.723728,3.054572,0.012263,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.016455,0.076590,-0.147174,0.002952,0.001668,0.004411
825.899000,-0.290195,0.336694,-0.023115,0.723715,3.054600,0.012188,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.221343,0.450942,-0.135617,-0.011437,0.006228,0.006055
825.901000,-0.290206,0.336682,-0.023121,0.723743,3.054637,0.012184,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.051401,0.134421,-0.084502,-0.003865,0.002309,0.006340
825.903000,-0.290203,0.336685,-0.023127,0.723735,3.054603,0.012205,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.077297,0.002208,-0.218783,-0.001245,-0.000527,0.001509
825.905000,-0.290190,0.336698,-0.023124,0.723767,3.054576,0.012226,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.372192,-0.113019,-0.145618,0.004635,0.013703,0.001001
825.907000,-0.290186,0.336701,-0.023119,0.723729,3.054577,0.012210,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.163212,0.273358,-0.102557,-0.008757,0.005205,0.000865
825.909000,-0.290200,0.336688,-0.023119,0.723795,3.054609,0.012182,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.052379,0.329439,-0.176933,-0.005211,-0.002614,0.008371
825.911000,-0.290194,0.336696,-0.023115,0.723760,3.054628,0.012236,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.400997,0.026120,-0.039352,-0.002447,0.010311,-0.000729
825.913000,-0.290189,0.336689,-0.023134,0.723789,3.054587,0.012136,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.037987,0.233828,-0.106987,-0.007207,0.001700,0.003395
825.915000,-0.290206,0.336698,-0.023113,0.723705,3.054642,0.012238,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.486735,-0.053172,-0.114550,0.003419,-0.008762,0.002871
825.917000,-0.290193,0.336706,-0.023118,0.723833,3.054604,0.012223,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.188257,0.387967,-0.034050,-0.009289,-0.002893,0.004498
825.919000,-0.290195,0.336711,-0.023112,0.723780,3.054631,0.012252,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.028956,0.056985,-0.071548,0.002392,-0.001647,0.003723
825.921000,-0.290196,0.336691,-0.023132,0.723737,3.054615,0.012167,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.339735,0.137550,-0.154801,-0.003728,0.008465,0.003913
825.923000,-0.290197,0.336690,-0.023122,0.723772,3.054596,0.012177,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.028397,0.169528,0.094320,-0.004133,0.002435,0.005302
825.925000,-0.290214,0.336705,-0.023101,0.723752,3.054675,0.012232,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.064386,0.229757,-0.111292,-0.004431,-0.004289,0.002142
825.927000,-0.290197,0.336701,-0.023122,0.723733,3.054598,0.012256,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.039068,-0.003114,-0.091457,-0.000263,-0.000822,0.002817
825.929000,-0.290194,0.336725,-0.023103,0.723804,3.054649,0.012270,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.083034,0.036989,-0.020101,-0.000635,0.002669,0.007185
825.931000,-0.290203,0.336687,-0.023117,0.723680,3.054616,0.012204,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.366830,0.093126,-0.131494,-0.001173,0.007148,0.002167
825.933000,-0.290214,0.336691,-0.023114,0.723707,3.054649,0.012253,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.102603,0.159119,0.037353,-0.002522,0.001254,0.004839
825.935000,-0.290191,0.336697,-0.023130,0.723733,3.054596,0.012188,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.216182,0.189527,0.078686,-0.003686,0.005614,0.005172
825.937000,-0.290201,0.336708,-0.023113,0.723775,3.054608,0.012233,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.094445,0.174801,0.007370,-0.004800,0.003150,0.000412
825.939000,-0.290199,0.336707,-0.023114,0.723812,3.054601,0.012207,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.005537,0.162501,0.004909,-0.001494,0.002302,0.005617
825.941000,-0.290210,0.336704,-0.023106,0.723766,3.054654,0.012229,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.251069,0.053548,-0.036020,-0.000791,0.006697,-0.001815
825.943000,-0.290206,0.336678,-0.023133,0.723681,3.054621,0.012151,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.218285,0.139646,-0.141943,-0.002964,0.000196,-0.000059
825.945000,-0.290214,0.336683,-0.023118,0.723747,3.054657,0.012162,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.166803,-0.064429,-0.124681,-0.000062,0.000198,0.004382
825.947000,-0.290212,0.336716,-0.023099,0.723766,3.054652,0.012256,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.058833,0.262407,-0.135640,-0.005412,0.005146,0.003130
825.949000,-0.290208,0.336695,-0.023110,0.723764,3.054645,0.012241,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.116755,0.173314,-0.141125,-0.003023,-0.001591,0.010269
825.951000,-0.290196,0.336706,-0.023110,0.723838,3.054628,0.012241,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000151,0.140561,-0.054410,-0.001043,0.001729,0.002484
825.953000,-0.290185,0.336697,-0.023127,0.723787,3.054576,0.012174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.338972,0.036407,-0.265382,-0.000744,0.007702,0.001128
825.955000,-0.290207,0.336691,-0.023121,0.723724,3.054640,0.012211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.232296,0.182265,-0.177810,-0.003327,0.006418,0.001474
825.957000,-0.290227,0.336695,-0.023112,0.723658,3.054683,0.012203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.096025,0.082956,-0.024843,-0.003757,0.004215,-0.004503
825.959000,-0.290212,0.336667,-0.023125,0.723648,3.054643,0.012181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.088822,0.020319,-0.029223,-0.001785,0.001378,0.004789
